100962	0	1	1	1	1	1	1	1	0	100962.jpg
121005	0	1	1	1	1	1	1	1	0	121005.jpg
134375	0	1	1	1	1	1	1	1	0	134375.jpg
14033	0	1	1	1	1	1	1	1	0	14033.jpg
145560	0	1	1	1	1	1	1	1	0	145560.jpg
147584	0	1	1	1	1	1	1	1	0	147584.jpg
15749	0	1	1	1	1	1	1	1	0	15749.jpg
163193	0	1	1	1	1	1	1	1	0	163193.jpg
1643	0	1	1	1	1	1	1	1	0	1643.jpg
185177	0	1	1	1	1	1	1	1	0	185177.jpg
185937	0	1	1	1	1	1	1	1	0	185937.jpg
198453	0	1	1	1	1	1	1	1	0	198453.jpg
213116	0	1	1	1	1	1	1	1	0	213116.jpg
223113	0	1	1	1	1	1	1	1	0	223113.jpg
225910	0	1	1	1	1	1	1	1	0	225910.jpg
227692	0	1	1	1	1	1	1	1	0	227692.jpg
253623	0	1	1	1	1	1	1	1	0	253623.jpg
256861	0	1	1	1	1	1	1	1	0	256861.jpg
260929	0	1	1	1	1	1	1	1	0	260929.jpg
271769	0	1	1	1	1	1	1	1	0	271769.jpg
272688	0	1	1	1	1	1	1	1	0	272688.jpg
27524	0	1	1	1	1	1	1	1	0	27524.jpg
278910	0	1	1	1	1	1	1	1	0	278910.jpg
287807	0	1	1	1	1	1	1	1	0	287807.jpg
291366	0	1	1	1	1	1	1	1	0	291366.jpg
31118	0	1	1	1	1	1	1	1	0	31118.jpg
317910	0	1	1	1	1	1	1	1	0	317910.jpg
322375	0	1	1	1	1	1	1	1	0	322375.jpg
324104	0	1	1	1	1	1	1	1	0	324104.jpg
325966	0	1	1	1	1	1	1	1	0	325966.jpg
340255	0	1	1	1	1	1	1	1	0	340255.jpg
342004	0	1	1	1	1	1	1	1	0	342004.jpg
358271	0	1	1	1	1	1	1	1	0	358271.jpg
360032	0	1	1	1	1	1	1	1	0	360032.jpg
366693	0	1	1	1	1	1	1	1	0	366693.jpg
368729	0	1	1	1	1	1	1	1	0	368729.jpg
